,id,Player,PER,TS%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,FG%,3P%,2P%,eFG%,FT%,PPG,APG,RPG,SPG,BPG,HOF,MVP_Counts,Champions_Winners,season,Last_Season,Total_PTS
0,3,Mahmoud Abdul-Rauf,15.242857142857144,0.5078571428571428,2.385714285714286,1.1714285714285713,3.5285714285714285,0.07271428571428572,0.8,-3.057142857142857,-2.2714285714285714,0.44185714285714284,0.343,0.46,0.47428571428571425,0.897,15.777781632012667,3.8806017065464418,2.0022267087788075,0.9072015201038255,0.0841098415522438,0.0,0,0,9,1997.0,8553.0
2,58,Ray Allen,18.52631578947368,0.5814736842105264,5.873684210526315,1.7578947368421047,7.6421052631578945,0.14926315789473685,4.205263157894737,-1.2473684210526317,2.952631578947369,0.45184210526315793,0.3979999999999999,0.488578947368421,0.5321578947368422,0.8965263157894738,19.124944770726394,3.4527872808314006,4.118728068127514,1.1377633112706291,0.1851333010772341,0.0,0,2,18,2014.0,24505.0
3,146,D.J. Augustin,13.837499999999999,0.53725,2.3000000000000003,1.1624999999999999,3.4374999999999996,0.0945,0.8125,-2.625,-1.8375,0.3955000000000001,0.368,0.41200000000000003,0.47574999999999995,0.857125,10.214707243133635,4.14308451177184,1.836156504747029,0.6078430455865338,0.035776004862712284,0.0,0,0,9,2017.0,6214.0
5,204,Matt Barnes,13.145454545454545,0.5444545454545454,1.6636363636363634,1.9545454545454548,3.627272727272727,0.09890909090909092,0.4636363636363637,0.8181818181818183,1.290909090909091,0.43654545454545457,0.33345454545454545,0.5254545454545454,0.5155454545454545,0.7546363636363634,8.902484264622574,1.9663231487173165,4.905325938134273,0.800148654906807,0.5338463795275917,0.0,0,1,14,2017.0,7589.0
6,206,Jim Barnett,14.5,0.5113333333333333,1.9666666666666668,0.6333333333333333,2.5666666666666664,0.09000000000000001,0.09999999999999998,-1.9000000000000001,-1.8,0.45133333333333336,0.0,0.45133333333333336,0.45133333333333336,0.811,10.130021882134558,2.3421119308443252,2.3223326490932124,0.6143595580215299,0.18022207317981964,0.0,0,0,11,1976.0,8536.0
9,454,Ronnie Brewer,14.679999999999998,0.538,2.7399999999999998,2.82,5.539999999999999,0.13440000000000002,0.26000000000000006,1.8,2.04,0.4936,0.2468,0.5182,0.5058,0.6616000000000001,9.659802259603648,2.125248735841255,3.340583814532838,1.4808793551759456,0.29863519894966434,0.0,0,0,8,2012.0,3940.0
11,490,Devin Brown,12.625,0.5137499999999999,1.1749999999999998,1.6,2.75,0.088,-0.65,-0.45000000000000007,-1.125,0.41125,0.342,0.44125000000000003,0.46299999999999997,0.77125,8.495222213913241,1.8674100516183205,3.2204505764721927,0.6376466962759637,0.14921499683036824,0.0,0,2,8,2008.0,3352.0
13,509,P.J. Brown,14.028571428571425,0.5152142857142856,2.957142857142857,3.428571428571428,6.371428571428572,0.12649999999999997,-1.0357142857142858,2.271428571428572,1.242857142857143,0.4594285714285714,0.059333333333333335,0.46164285714285713,0.45985714285714285,0.7930714285714286,9.213058558547521,1.525761276957248,7.745030700008187,0.8442153400795471,1.0309209591088,0.0,0,2,15,2007.0,9870.0
14,510,Randy Brown,10.450000000000001,0.459,-0.325,1.475,1.15,0.046625,-3.0500000000000003,1.0,-2.0625,0.41675,0.164125,0.42612500000000003,0.421125,0.684875,5.610223933918439,2.6061015125722453,2.0998636939541915,1.250129377795881,0.25201243670925255,0.0,0,3,12,2001.0,3148.0
15,524,Oscar Robertson*,14.2,0.502,3.2,2.6,5.9,0.113,0.1,-0.1,0.0,0.438,0.0,0.438,0.438,0.835,12.685714285714285,6.371428571428571,3.9857142857142858,1.1,0.05714285714285714,1.0,1,1,14,1974.0,26710.0
16,527,Lenny Wilkens*,17.65,0.531,3.35,1.2999999999999998,4.6,0.1185,2.35,-0.8,1.5999999999999999,0.452,0.0,0.452,0.452,0.7845,11.426715176715177,5.334719334719335,2.794698544698545,1.2477130977130977,0.18409563409563412,1.0,0,0,15,1975.0,17772.0
17,529,Walt Bellamy*,15.2,0.521,3.2,2.2,5.4,0.107,0.2,0.1,0.3,0.486,0.0,0.486,0.486,0.608,13.12987012987013,2.4545454545454546,9.61038961038961,0.6753246753246753,0.6233766233766234,1.0,0,0,14,1974.0,20941.0
18,564,Zelmo Beaty*,12.8,0.514,1.1,1.2,2.3,0.091,-2.7,0.4,-2.3,0.439,0.0,0.439,0.439,0.8,5.507246376811594,1.0724637681159421,4.739130434782608,0.6521739130434783,0.42028985507246375,1.0,0,0,8,1975.0,9107.0
19,565,Bill Bridges,11.6,0.468,0.8,2.0,2.8,0.07400000000000001,-2.0,0.8,-1.3,0.421,0.0,0.421,0.421,0.7070000000000001,8.430769230769231,2.276923076923077,7.676923076923077,0.8923076923076924,0.47692307692307695,0.0,0,1,13,1974.0,11012.0
20,568,Dave DeBusschere*,16.3,0.49,2.4,4.6,7.0,0.125,0.1,1.6,1.7,0.461,0.0,0.461,0.461,0.7559999999999999,18.056338028169016,3.563380281690141,10.661971830985916,0.9436619718309859,0.5492957746478874,1.0,0,2,12,1974.0,14053.0
21,572,Leroy Ellis,12.75,0.4895,2.3,2.8,5.05,0.0965,-2.1,1.5,-0.55,0.4565,0.0,0.4565,0.4565,0.7384999999999999,8.871123155676,1.8800813008130082,9.042607648298706,0.7991568804576935,0.8724028906955736,0.0,0,1,14,1975.0,10176.0
22,577,John Havlicek*,15.719999999999999,0.5024,4.54,3.04,7.6,0.12479999999999998,1.3,0.0,1.34,0.4524,0.0,0.4524,0.4524,0.8434000000000001,18.500515916218454,4.774211501275573,5.065227246876067,1.2057262637916186,0.29877886287190647,1.0,0,8,16,1978.0,26395.0
23,579,Mitchell Butler,11.5,0.5135000000000001,0.09999999999999998,0.6000000000000001,0.7000000000000001,0.025,-1.9,-1.4,-3.25,0.45799999999999996,0.163,0.47950000000000004,0.481,0.6214999999999999,7.380964912280701,1.1120175438596491,2.6184210526315788,0.7613157894736842,0.19912280701754387,0.0,0,0,8,1995.0,1868.0
24,584,Don Nelson*,17.1,0.5814999999999999,5.1,2.2,7.3,0.183,1.8499999999999999,-0.75,1.15,0.5235000000000001,0.0,0.5235000000000001,0.5235000000000001,0.8075,12.768987341772153,2.1333744983019454,5.072012966965112,0.31838530410620564,0.17420500154368634,1.0,0,5,14,1975.0,10898.0
25,594,Chet Walker*,19.0,0.567,7.5,3.05,10.55,0.198,3.25,-0.95,2.3,0.4865,0.0,0.4865,0.4865,0.8674999999999999,19.2642811296534,2.331354300385109,5.317715019255456,0.737002567394095,0.06386392811296535,1.0,0,1,13,1975.0,18831.0
26,611,Jerry Lucas*,12.6,0.4920000000000001,1.0,2.4,3.4,0.101,-1.9,1.7,-0.1,0.462,0.0,0.462,0.462,0.698,6.232876712328767,3.1506849315068495,5.123287671232877,0.3835616438356164,0.3287671232876712,1.0,0,1,11,1974.0,14053.0
28,619,Nate Thurmond*,13.5,0.44533333333333336,0.6333333333333334,3.566666666666667,4.2,0.09333333333333334,-2.233333333333333,3.1666666666666665,0.9666666666666667,0.4086666666666667,0.0,0.4086666666666667,0.4086666666666667,0.5896666666666667,8.500248138957815,2.6024813895781636,10.251199338296113,0.5044044665012407,2.2158912324234903,1.0,0,0,14,1976.0,14437.0
29,627,Mel Counts,14.8,0.477,0.2,1.8,2.0,0.069,-1.5,1.6,0.1,0.438,0.0,0.438,0.438,0.7609999999999999,6.933333333333334,2.4266666666666667,5.88,0.6533333333333333,0.5733333333333334,0.0,0,2,12,1975.0,6516.0
30,630,Happy Hairston,16.7,0.581,5.0,3.1500000000000004,8.15,0.158,1.1,0.5,1.6,0.5065,0.0,0.5065,0.5065,0.7859999999999999,12.355651105651106,2.5195682695682695,13.145138645138644,0.766935766935767,0.1847139347139347,0.0,0,1,11,1975.0,11505.0
32,640,Jeff Mullins,15.149999999999999,0.4985,2.8499999999999996,1.05,3.9499999999999997,0.10200000000000001,0.35,-1.7,-1.35,0.46399999999999997,0.0,0.46399999999999997,0.46399999999999997,0.8454999999999999,12.200216450216448,3.1396103896103895,2.724025974025974,0.8798701298701299,0.24891774891774893,0.0,0,1,12,1975.0,13017.0
33,643,Paul Silas,11.900000000000002,0.4645714285714286,1.5714285714285714,3.2285714285714286,4.828571428571429,0.09871428571428573,-1.3428571428571427,1.2857142857142858,-0.09999999999999999,0.40585714285714286,0.0,0.40585714285714286,0.40585714285714286,0.6722857142857144,7.884802340086893,1.8730588893190518,9.177936938099538,0.6261453090721384,0.24162257495590828,0.0,0,3,16,1980.0,11782.0
34,647,Rick Barry*,19.12857142857143,0.5052857142857142,5.242857142857143,3.1142857142857143,8.342857142857143,0.13842857142857143,2.8285714285714287,0.1571428571428571,2.9714285714285715,0.447,0.33,0.4521428571428571,0.4537142857142857,0.9211428571428572,21.035249403352985,5.681765947205383,5.161588067985361,1.9798546756815771,0.484668560745282,1.0,0,1,10,1980.0,18395.0
